Analyste d'affaires (Analytique),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Business Analyst  (Analytics),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
IT Project Manager,Project Management (Games/Animation movies),"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Chef de Projet TI,Project Management (Games/Animation movies),"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Chef de Projet TI,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Responsable Centres de Données,Operations & Manufacturing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Data Center Facility Manager,Operations & Manufacturing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Web developer H/F,Online/Web,"Annecy,France"
Texture Artist - (unannounced AAA pc/console title),Art,"Barcelona,Spain"
Technical Artist – Owlient (Ubisoft),Art,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Frontend Developer,Programming,"Bucharest,Romania"
Marketing Artist Assistant - Stage H/F,Marketing,"Montreuil,Trainee Agreement / Convention de stage"
Communication assistant - internship,Communications & PR,"Milan,Trainee Agreement / Convention de stage"
Game Designer / Programmer (F/H),Game & Level Design/Creative Direction,"Montreuil,France"
Associate Producer – Owlient (Ubisoft),Project Management (Games/Animation movies),"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Assistant Directeur des Chorégraphies (H/F),Art,"Montreuil,France"
Treasury Analyst Assistant (H/F),Finance & Accounting,"Montreuil,Trainee Agreement / Convention de stage"
IT Production Manager,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Gestionnaire de production TI,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Coordonnateur - Développement des talents (contrat de 2 mois),Human Resources & Knowledge Management,"Montreal,Fixed Term Contract / Contrat à Durée Déterminée"
Technicien Data Center (H/F),Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Programmeur outils,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Game Analyst [Live Operations],Business Development,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Game Designer Equideow - Owlient (H/F),Game & Level Design/Creative Direction,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Tools Programmer,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Project Coordinator,Project Management (Games/Animation movies),"Helsinki,Permanent Contract / Contrat à Durée Indéterminée"
Learning Assistant - H/F (stage),Human Resources & Knowledge Management,"Montreuil,Trainee Agreement / Convention de stage"
Development Tester,Testing & Quality Management,"Montreal,Canada"
Testeur de développement,Testing & Quality Management,"Montreal,Canada"
Marketing Coordinator - Owlient (H/F),Marketing,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Marketing Coordinator - Owlient (F/M),Marketing,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
.Net Developer,Programming,"Bucharest,Romania"
IT Talent Sourcer,Human Resources & Knowledge Management,"Bucharest,Romania"
DevOps Engineer (Odesa),Testing & Quality Management,"Odesa,Ukraine"
Release and Build Specialist (H/F) - Equipe Cinématique,Information Systems,"Montpellier,France"
UI programmer (M/F),Programming,"Annecy,Fixed Term Contract / Contrat à Durée Déterminée"
Concept Artist,Art,"Santa Rosa,Philippines"
CMK Analyst (Marketing Research),Marketing,"Montreal,Canada"
Analyste CMK (Recherche Marketing),Marketing,"Montreal,Canada"
Senior Help Program Manager,Marketing,"San Francisco,United States"
Game Economy Designer,Game & Level Design/Creative Direction,"Québec City,Canada"
Concepteur Économie de jeu,Game & Level Design/Creative Direction,"Québec City,Canada"
Chargé·e de projet (accessibilité),Game & Level Design/Creative Direction,"Montreal,Canada"
Analyste d'affaires,Information Systems,"Québec City,Canada"
Business Analyst,Information Systems,"Québec City,Canada"
Lead technique,Programming,"Montreal,Canada"
Project Manager (Accessibility),Game & Level Design/Creative Direction,"Montreal,Canada"
Lead QC,Testing & Quality Management,"Da Nang,Vietnam"
Producer,Project Management (Games/Animation movies),"Da Nang,Vietnam"
Lead Game Designer,Game & Level Design/Creative Direction,"Da Nang,Vietnam"
Live Producer,Project Management (Games/Animation movies),"Da Nang,Vietnam"
Senior Data Analyst,Marketing,"Da Nang,Vietnam"
Marketing Product Manager,Marketing,"Da Nang,Vietnam"
"STAGE - Assistant(e) Data Science, EMEA H/F",Marketing,"Paris,Trainee Agreement / Convention de stage"
Development Tester for Ubisoft Craiova,Testing & Quality Management,"Craiova,Romania"
Implementation Project Manager (Learning Experience Platform),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Chef de Projet (Implémentation Learning Experience Platform),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Technical Artist for Ubisoft Craiova,Art,"Craiova,Romania"
Online Programmer for Ubisoft Craiova,Programming,"Craiova,Romania"
IT Manager - EPM Finance (H/F),Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Generalist Programmer- mobile,Programming,"Montreal,Canada"
Online Programmer - Technology Group Online,Programming,"Craiova,Romania"
Technical Lead - mobile games,Programming,"Montreal,Canada"
Junior Live Performance Analyst (H/F),Game & Level Design/Creative Direction,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Lead Technique - jeux mobiles,Programming,"Montreal,Canada"
Senior Concept Artist [Tom Clancy's The Division 2],Art,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Lead Concept Artist [Avatar Project],Art,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Line Producer Mobile (H/F),Project Management (Games/Animation movies),"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Business Development & Publishing Manager - Japan,Business Development,"Tokyo,Japan"
Business Development & Publishing Manager - Korea,Business Development,"Seoul,Korea, republic of"
Développeur Full Stack (H/F),Programming,"Montreuil,France"
"Communication Manager, EMEA M/F",Communications & PR,"Paris,France"
EMEA Esports Brand Manager H/F,Marketing,"Paris,France"
"Lead Web développeur, EMEA (H/F)",Online/Web,"Paris,France"
Senior Gameplay Programmer (M/F) Ghost Recon Breakpoint,Game & Level Design/Creative Direction,"Bordeaux,Fixed Term Contract / Contrat à Durée Déterminée"
HR Business Partner (f/m/d),Human Resources & Knowledge Management,"Düsseldorf,Fixed Term Contract / Contrat à Durée Déterminée"
Texture / Material Artist [Avatar Project],Art,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Environment Artist [Avatar Project],Art,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Senior Character Artist,Art,"Chengdu,Fixed Term Contract / Contrat à Durée Déterminée"
Technical Operation Lead,Programming,"Chengdu,Fixed Term Contract / Contrat à Durée Déterminée"
Lighting Artist H/F,Art,"Annecy,France"
Games User Research Manager,Marketing,"Shanghai,China"
STAGE - Assistant(e) Partenariats & Sponsoring E-sport (H/F),Business Development,"Montreuil,Trainee Agreement / Convention de stage"
STAGE - Licencing & Business Development Assistant(e) (H/F),Business Development,"Montreuil,Trainee Agreement / Convention de stage"
Développeur TI (Sécurité du Jeu),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
IT Developer (Game Security),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Data Architect,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Architecte de données,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Architecte de données (Scala/Java),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Data Architect (Scala/Java),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Freelance Graphic Designer,Marketing,"San Francisco,United States"
Chef de Produit - Mkg,Marketing,"Montreal,Canada"
Développeur TI (ServiceNow Service Portal),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
IT Developer (ServiceNow Service Portal),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Développeur BI (Support en ETL),Programming,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
BI Developer (ETL Support),Programming,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Responsable ITSM,Project Management (Games/Animation movies),"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
ITSM Manager (Release process owner),Project Management (Games/Animation movies),"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Développeur BI (Entrepôt de données),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
BI Developer (Data Warehouse),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Administrateur d'application (Reportage),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Application Administrator (Reporting),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Développeur d’applications Web et mobiles,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Web/ mobile developer,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Technical Architect (Big Data Platform),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Architecte technique (Plateforme Big Data),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Analyste d'affaires (intelligence d'affaires),Business Development,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Business Analyst (Business Intelligence),Business Development,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
BI Developer (Hadoop),Programming,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Développeur BI (Hadoop),Programming,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Associate Producer – VR [Unannounced Project] (f/m/d),Project Management (Games/Animation movies),"Düsseldorf,Permanent Contract / Contrat à Durée Indéterminée"
Gestionnaire de projet (Scrum Master),Marketing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Project Manager (Scrum Master),Marketing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Lead 3D Artist (Monetization) - Unannounced AAA,Art,"Barcelona,Spain"
Game Designer,Game & Level Design/Creative Direction,"Abu Dhabi,United Arab Emirates"
Associate Producer,Project Management (Games/Animation movies),"Singapore,Singapore"
Senior Linux Admin,Programming,"Abu Dhabi,United Arab Emirates"
Game Economy Designer,Game & Level Design/Creative Direction,"Abu Dhabi,United Arab Emirates"
Business Development Director,Business Development,"Shanghai,China"
Online Associate Producer [Avatar Project],Project Management (Games/Animation movies),"Malmö,Sweden"
Senior HR Partner,Human Resources & Knowledge Management,"Sofia,Bulgaria"
Build Engineer,Testing & Quality Management,"Bucharest,Romania"
Administrateur de la virtualisation,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Graphic Design Intern,Game & Level Design/Creative Direction,"San Francisco,United States"
Application Specialist (BI Tools),Information Systems,"Bucharest,Permanent Contract / Contrat à Durée Indéterminée"
Recruiter,Human Resources & Knowledge Management,"Kyiv,Ukraine"
HQ Financial Planning Manager F/H,Finance & Accounting,"Paris,Permanent Contract / Contrat à Durée Indéterminée"
Responsable PMO Infrastructure  H/F,Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Business Developer Chinese Market - Ketchapp (M/F),Business Development,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Economic Game Designer - Owlient (M/F),Game & Level Design/Creative Direction,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
3D Artist - Ketchapp (M/F),Art,"Montreuil,France"
C++ Developer,Programming,"Chengdu,China"
Gameplay Programmer - Ketchapp (M/F),Programming,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Senior Recruiter (H/F),Human Resources & Knowledge Management,"Montreuil,France"
Machine Learning Engineer,Programming,"Helsinki,Fixed Term Contract / Contrat à Durée Déterminée"
Junior Audio Designer,Audio Design,"Singapore,Singapore"
Corporate Communications Manager,Communications & PR,"Mumbai,India"
Cinematic Designer,Game & Level Design/Creative Direction,"Montreal,Canada"
Concepteur Cinématiques,Game & Level Design/Creative Direction,"Montreal,Canada"
"Director, Sales Planning and Integration",Sales,"San Francisco,United States"
Technical lead (Game Security),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Analyste Sécurité (Sécurité du Jeu),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Security Analyst (Game Security),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Analyste en gestion des risques (gestion de crises),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Risk Management Analyst (Crisis Management),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Applications Administrator (Linux),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Analyste en Gestion du Risque (Sensibilisation et Communications),Information Systems,"Montreal,Canada"
Risk Management Analyst (Awareness & Communications),Information Systems,"Montreal,Canada"
Software Development Manager (IT),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Online Programmer (H/F),Programming,"Montreuil,Yes - Online Programming"
Programmeur Outils (Web Full Stack) - Groupe Technologique (2 Postes Ouverts),Programming,"Québec City,Canada"
HR Partner,Human Resources & Knowledge Management,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Partenaire RH,Human Resources & Knowledge Management,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Producer,Programming,"Winnipeg,Canada"
IT Business Analyst – Finance EPM (H/F),Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Level Artist senior H/F,Art,"Annecy,France"
Tools Developer Team Lead,Testing & Quality Management,"Bucharest,Permanent Contract / Contrat à Durée Indéterminée"
Localization Specialist - German Language,Testing & Quality Management,"Bucharest,Romania"
Compensation and Benefits Specialist (H/F),Human Resources & Knowledge Management,"Bordeaux,Permanent Contract / Contrat à Durée Indéterminée"
"Data Strategist, EMEA M/F",Sales,"Paris,France"
"Data Strategist, EMEA H/F",Sales,"Paris,France"
Live Game Designer Assistant,Game & Level Design/Creative Direction,"Montreuil,Trainee Agreement / Convention de stage"
Développeur BI (Dashboard Specialist),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Data Developer,Marketing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Développeur de Données,Marketing,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Cloud Administrator,Information Systems,"Montreal,Canada"
Administrateur Cloud,Information Systems,"Montreal,Canada"
Chef d'équipe (Services de distribution),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Cloud Administateur,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Cloud Administrator,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Gestionnaire de développement,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Specialist Tester (Google Compliance),Testing & Quality Management,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Testeur Spécialiste (Certification Google),Testing & Quality Management,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Chef d'Équipe développement,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Team Lead Development,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Architecte E-commerce (H/F),Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Interior Designer Assistant - Stage,Operations & Manufacturing,"Montreuil,Trainee Agreement / Convention de stage"
Gameplay Programmer Web - Owlient (H/F),Programming,"Montreuil,France"
Development QA Tester - Owlient (H/F),Testing & Quality Management,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Development QA Tester - Owlient (H/F),Testing & Quality Management,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Technical Artist (World Building),Art,"Cary,Permanent Contract / Contrat à Durée Indéterminée"
Senior .Net Developer,Information Systems,"Bucharest,Permanent Contract / Contrat à Durée Indéterminée"
Expert 3D/Rendering Programmer,Programming,"Kyiv,Ukraine"
Python Developer – Production Tools [Avatar Project],Programming,"Malmö,Permanent Contract / Contrat à Durée Indéterminée"
Lead Gameplay Programmer,Programming,"Montreuil,No"
Junior Product Manager,Marketing,"Singapore,Singapore"
Junior Customer Support Quality Assurance Specialist 初级客服质检专员,Customer Relations,"Chengdu,China"
Junior Knowledge Specialist,Customer Relations,"Chengdu,China"
Marketing Artist,Art,"Shanghai,China"
Technical Operations Coordinator,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Receptionist,Administration,"Chengdu,China"
Marketing Assistant (H/F),Marketing,"Montreuil,Trainee Agreement / Convention de stage"
Associate Producer,Project Management (Games/Animation movies),"Bucharest,Romania"
Web Developer,Testing & Quality Management,"Bucharest,Romania"
HTML5/JS Programmer,Programming,"Da Nang,Vietnam"
Online Programmer,Programming,"Da Nang,Vietnam"
Gameplay Programmer,Programming,"Da Nang,Vietnam"
Unity Developer,Programming,"Da Nang,Vietnam"
Virtualization Administrator,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
PE Accountant,Administration,"Kyiv,Permanent Contract / Contrat à Durée Indéterminée"
QA Games Tester (Contractor),Testing & Quality Management,"London,United Kingdom"
Full-Stack .Net Developer,Programming,"Kyiv,Ukraine"
International Product Management Assistant - stage (H/F),Marketing,"Montreuil,Trainee Agreement / Convention de stage"
IT Manager - EPM Finance,Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
SFX Artist(Mobile),Art,"Shanghai,China"
Technical Artist,Art,"Singapore,Singapore"
Junior Release & Build Specialist,Online/Web,"Chengdu,China"
Junior Game Designer,Game & Level Design/Creative Direction,"Singapore,Singapore"
Junior Legal Counsel,Legal,"San Francisco,United States"
Senior Gameplay Programmer [Unannounced Project] (283),Programming,"Royal Leamington Spa,United Kingdom"
Online Technical Director [Unannounced Project] (274),Programming,"Newcastle upon Tyne,United Kingdom"
Senior UI Programmer [Unannounced Project] (293),Programming,"Newcastle upon Tyne,United Kingdom"
Lead Engine Programmer [Tom Clancy's The Division 2] (156),Programming,"Royal Leamington Spa,United Kingdom"
Senior Gameplay Programmer [Unannounced Project] (283),Programming,"Newcastle upon Tyne,United Kingdom"
Programmeur Outils (C#/WPF),Programming,"Saguenay,Canada"
Real Estate Project Manager,Administration,"Kyiv,Fixed Term Contract / Contrat à Durée Déterminée"
Lead Gameplay Programmer [Unannounced Project] (291),Programming,"Royal Leamington Spa,United Kingdom"
Senior AI Programmer [Unannounced Project] (294),Programming,"Royal Leamington Spa,United Kingdom"
Graphics Programmer [Unannounced Project] (247),Programming,"Royal Leamington Spa,United Kingdom"
Senior/Expert PC C++ Developer,Programming,"Kyiv,Ukraine"
Game Designer,Game & Level Design/Creative Direction,"Kyiv,Ukraine"
C++ UI Programmer,Programming,"Kyiv,Ukraine"
Senior Game Designer [Unannounced Project] (205),Game & Level Design/Creative Direction,"Newcastle upon Tyne,Permanent Contract / Contrat à Durée Indéterminée"
Coordonnateur- Opérations Techniques,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Local IT Technician,Information Systems,"Da Nang,Vietnam"
HR Operations Specialist (H/F),Human Resources & Knowledge Management,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Project Manager [Audio] (f/m/d),Audio Design,"Düsseldorf,Fixed Term Contract / Contrat à Durée Déterminée"
Marketing Video Artist - Owlient (H/F),Marketing,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Tools Programmer (304),Programming,"Newcastle upon Tyne,United Kingdom"
Localization Specialist - French Language,Testing & Quality Management,"Bucharest,Romania"
"JUNIOR/SPECIALIST, HR OPERATIONS",Human Resources & Knowledge Management,"Singapore,Permanent Contract / Contrat à Durée Indéterminée"
Associate Art Director,Art,"Shanghai,China"
Assistant Technical Director- Design,Game & Level Design/Creative Direction,"Montreal,Canada"
Assistant Directeur Technique- Design,Game & Level Design/Creative Direction,"Montreal,Canada"
Senior Character Artist,Art,"Osaka,Japan"
Game Intelligence Analyst,Programming,"Toronto,Canada"
Directeur·trice technique - animation,Animation,"Montreal,Canada"
Sales Administration & Operations Executive,Operations & Manufacturing,"Hong Kong,Permanent Contract / Contrat à Durée Indéterminée"
Lead Tech & Tools Programmer [Tom Clancy's The Division 2],Programming,"Malmö,Sweden"
Level Artist(Console Game),Art,"Shanghai,China"
Game Services & Operation Specialist,Customer Relations,"Chengdu,China"
Game Designer,Game & Level Design/Creative Direction,"Singapore,Singapore"
Team Lead Level Designer,Game & Level Design/Creative Direction,"Toronto,Canada"
Team Lead Artist,Art,"Toronto,Canada"
Physics Programmer,Programming,"Toronto,Canada"
Production Manager,Project Management (Games/Animation movies),"Toronto,Canada"
Product Manager (Gameplay) – Technology Group,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Gestionnaire de produit (domaine Gameplay) – Groupe technologique,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Technical Support Analyst (Corporate - Daytime shift),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Analyste Support Technique (Corporatif - Quart de jour),Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Associate Producer,Project Management (Games/Animation movies),"Montreal,Canada"
(Intermediate/Senior) Backend Programmer [Unannounced Project] (f/m/d),Programming,"Berlin,Permanent Contract / Contrat à Durée Indéterminée"
Data Scientist (user research lab),Programming,"Montreal,Canada"
Scientifique de données (laboratoire de recherche utilisateur),Programming,"Montreal,Canada"
Virtualization Administrator (H/F),Information Systems,"Montreuil,Permanent Contract / Contrat à Durée Indéterminée"
Level Designer - VR [Unannounced Project] (f/m/d),Game & Level Design/Creative Direction,"Düsseldorf,Permanent Contract / Contrat à Durée Indéterminée"
3D Animator,Animation,"Mumbai,India"
Narrative Designer - VR [Unannounced Project] (m/f/d),Game & Level Design/Creative Direction,"Düsseldorf,Permanent Contract / Contrat à Durée Indéterminée"
Level Artist,Art,"Mumbai,India"
Network Developer,Information Systems,"Shanghai,Fixed Term Contract / Contrat à Durée Déterminée"
Release & Build Administrator [Avatar Project] (f/m/d),Testing & Quality Management,"Düsseldorf,Germany"
ROCKSMITH Video Game Tester,Testing & Quality Management,"Bucharest,Romania"
Engineering Studio Developer (C++),Programming,"Bucharest,Romania"
Rigger,Art,"Mumbai,India"
Network Server/Online Programmer,Programming,"Shanghai,China"
Generalist Programmer Intern,Programming,"Singapore,Permanent Contract / Contrat à Durée Indéterminée"
Designer UI/UX (Ubisoft Club),Art,"Montreal,Canada"
IT Project Manager,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Live Operations Specialist,Project Management (Games/Animation movies),"Paris,Permanent Contract / Contrat à Durée Indéterminée"
Lead Programmer [Unannounced Project] (f/m/d),Programming,"Berlin,Permanent Contract / Contrat à Durée Indéterminée"
STAGE - Trade Marketing Assistant (H/F),Marketing,"Montreuil,Trainee Agreement / Convention de stage"
Business Analyst F/H,Finance & Accounting,"Carentoir,Permanent Contract / Contrat à Durée Indéterminée"
Data Lake Support Engineer,Information Systems,"Kyiv,Ukraine"
Quest Designer,Game & Level Design/Creative Direction,"Milan,Italy"
Information Security Analyst (f/m/d),Information Systems,"Düsseldorf,Germany"
Talent Acquisition Assistant IT - Stage H/F,Human Resources & Knowledge Management,"Montreuil,Trainee Agreement / Convention de stage"
Scrum Master [Game Security] (f/m/d),Project Management (Games/Animation movies),"Düsseldorf,Germany"
Intermediate/senior Backend programmeur (H/F),Programming,"Annecy,France"
Programmeur moteur (H/F),Programming,"Annecy,Fixed Term Contract / Contrat à Durée Déterminée"
Engine programmer (M/F),Programming,"Annecy,Fixed Term Contract / Contrat à Durée Déterminée"
Programmeur 3D (H/F),Programming,"Annecy,France"
3D Graphics Programmer (M/F),Programming,"Annecy,France"
UI programmer (H/F),Programming,"Annecy,Fixed Term Contract / Contrat à Durée Déterminée"
Online programmer (M/F),Programming,"Annecy,France"
Programmeur Online H/F,Programming,"Annecy,France"
Programmeur Outils H/F,Programming,"Annecy,France"
Tools Programmer (M/F),Programming,"Annecy,France"
Senior Gameplay programmer (M/F),Programming,"Annecy,France"
Camera Specialist,Marketing,"Singapore,Singapore"
Senior Technical Artist,Art,"Cary,Permanent Contract / Contrat à Durée Indéterminée"
Administrateur en stockage  et sauvegarde des données,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Technicien(ne) Motion Capture (H/F),Animation,"Montreuil,Fixed Term Contract / Contrat à Durée Déterminée"
Senior Game Designer BGE2 (H/F),Game & Level Design/Creative Direction,"Montreuil,Fixed Term Contract / Contrat à Durée Déterminée"
Assistant(e) Communication mécénat H/F – Stage,Communications & PR,"Montreuil,Trainee Agreement / Convention de stage"
Live Producer - Owlient (H/F),Project Management (Games/Animation movies),"Montreuil,France"
Technicien - Service Technique,Information Systems,"Montreal,Canada"
Technicien - Service Technique (contrat de 3 mois),Information Systems,"Montreal,Fixed Term Contract / Contrat à Durée Déterminée"
Environment Concept Artist - (H/F),Art,"Bordeaux,Fixed Term Contract / Contrat à Durée Déterminée"
Scientifique de données (Deepsens,Information Systems,"Montreal,Permanent Contract / Contrat à Durée Indéterminée"
Support Developer (Data Lake),Information Systems,"Bucharest,Permanent Contract / Contrat à Durée Indéterminée"
Recruitment Manager (f/m/d),Human Resources & Knowledge Management,"Berlin,Permanent Contract / Contrat à Durée Indéterminée"
Recruitment Manager (f/m/d),Human Resources & Knowledge Management,"Mainz,Permanent Contract / Contrat à Durée Indéterminée"
Recruitment Manager (f/m/d),Human Resources & Knowledge Management,"Düsseldorf,Permanent Contract / Contrat à Durée Indéterminée"
